1841,JP,"SANYU CONSTRUCTION CO.,LTD."
1844,JP,"OHMORI CO.,LTD."
1847,JP,"ICHIKEN Co.,Ltd."
1848,JP,FUJI P.S CORPORATION
184A,JP,"Manabi-aid Co.,Ltd."
1850,JP,"Nankai Tatsumura Construction Co.,Ltd."
1852,JP,ASANUMA CORPORATION
1853,JP,"Mori-Gumi Co.,Ltd."
185A,JP,Recycle Tech Japan CORPORATION
1860,JP,TODA CORPORATION
1861,JP,"Kumagai Gumi Co.,Ltd."
1866,JP,KITANO CONSTRUCTION CORP.
1867,JP,UEKI CORPORATION
186A,JP,Astroscale Holdings Inc.
1870,JP,"YAHAGI CONSTRUCTION CO.,LTD."
1871,JP,"PS Construction Co.,Ltd."
1873,JP,"NIHON HOUSE HOLDINGS CO.,LTD."
1878,JP,"DAITO TRUST CONSTRUCTION CO.,LTD."
1879,JP,SHINNIHON CORPORATION
1882,JP,TOA ROAD CORPORATION
1884,JP,"THE NIPPON ROAD CO.,LTD."
1885,JP,TOA CORPORATION
1887,JP,JDC CORPORATION
1888,JP,"WAKACHIKU CONSTRUCTION CO.,LTD."
188A,JP,Global X India Top 10+ ETF
1890,JP,"TOYO CONSTRUCTION CO.,LTD."
1893,JP,"PENTA-OCEAN CONSTRUCTION CO.,LTD."
1897,JP,"The Kaneshita Construction Co.,Ltd."
1898,JP,"SEIKITOKYU KOGYO CO.,LTD."
1899,JP,FUKUDA CORPORATION
189A,JP,"D&M COMPANY CO.,LTD"
1904,JP,"TAISEI ONCHO CO.,LTD."
1905,JP,TENOX CORPORATION
1909,JP,"Nippon Dry-Chemical CO.,LTD."
190A,JP,Chordia Therapeutics Inc.
1911,JP,"Sumitomo Forestry Co.,Ltd."
1914,JP,"JAPAN FOUNDATION ENGINEERING CO.,LTD."
191A,JP,"MIMOSA CO.,LTD."
1921,JP,TOMOE CORPORATION
1925,JP,"DAIWA HOUSE INDUSTRY CO.,LTD."
1926,JP,"RAITO KOGYO CO.,LTD."
1928,JP,"Sekisui House,Ltd."
1929,JP,"NITTOC CONSTRUCTION CO.,LTD."
192A,JP,Integroup Inc.
1930,JP,"HOKURIKU ELECTRICAL CONSTRUCTION CO.,LTD."
1934,JP,YURTEC CORPORATION
1938,JP,"NIPPON RIETEC CO.,LTD."
1939,JP,YONDENKO CORPORATION
193A,JP,"Gro-Bels Co.,Ltd."
1941,JP,CHUDENKO CORPORATION
1942,JP,"KANDENKO CO.,LTD."
1944,JP,KINDEN CORPORATION
1945,JP,TOKYO ENERGY & SYSTEMS INC.
1946,JP,TOENEC CORPORATION
1948,JP,"The Kodensha,Co.,Ltd."
1949,JP,"SUMITOMO DENSETSU CO.,LTD."
194A,JP,"WOLVES HAND Co.,Ltd."
1950,JP,"NIPPON DENSETSU KOGYO CO.,LTD."
1951,JP,"EXEO Group,Inc."
1952,JP,"Shin Nippon Air Technologies Co.,Ltd."
1959,JP,KYUDENKO CORPORATION
195A,JP,Ricecurry Inc.
1960,JP,Sanyo Engineering & Construction Inc.
1961,JP,"SANKI ENGINEERING CO.,LTD."
1963,JP,JGC HOLDINGS CORPORATION
1964,JP,"Chugai Ro Co.,Ltd."
1965,JP,TECHNO RYOWA LTD.
1966,JP,TAKADA CORPORATION
1967,JP,YAMATO CORPORATION
1968,JP,"TAIHEI DENGYO KAISHA,LTD."
1969,JP,"Takasago Thermal Engineering Co.,Ltd."
196A,JP,"MFS,Inc."
1972,JP,"SANKO METAL INDUSTRIAL CO.,LTD."
1975,JP,"ASAHI KOGYOSHA CO.,LTD."
1976,JP,"MEISEI INDUSTRIAL Co.,Ltd."
1979,JP,Taikisha Ltd.
197A,JP,"TAUNS Laboratories,Inc."
1980,JP,"DAI-DAN CO.,LTD."
1981,JP,"KYOWANISSEI CO.,LTD."
1982,JP,"Hibiya Engineering,Ltd."
198A,JP,PostPrime Inc.
1992,JP,"KANDA TSUSHINKI CO.,LTD."
1994,JP,TAKAHASHI CURTAIN WALL CORPORATION
1997,JP,"AKATSUKI EAZIMA CO.,LTD."
199A,JP,Mediair corporation
2001,JP,NIPPN CORPORATION
2002,JP,NISSHIN SEIFUN GROUP INC.
2003,JP,"NITTO FUJI FLOUR MILLING CO.,LTD."
2004,JP,"Showa Sangyo Co.,Ltd."
2009,JP,"THE TORIGOE CO.,LTD."
200A,JP,NEXT FUNDS Nikkei Semiconductor Stock Index Exchange Traded Fund
