코드/티커,국가,이름
388790,KR.CSV,라이콤
347700,KR.CSV,라이프시맨틱스
214260,KR.CSV,라파스
403360,KR.CSV,라피치
171010,KR.CSV,램테크놀러지
084650,KR.CSV,랩지노믹스
217500,KR.CSV,러셀
092590,KR.CSV,럭스피아
038390,KR.CSV,레드캡투어
294140,KR.CSV,레몬
443250,KR.CSV,레뷰코퍼레이션
228670,KR.CSV,레이
228850,KR.CSV,레이언스
412350,KR.CSV,레이저쎌
199550,KR.CSV,레이저옵텍
281740,KR.CSV,레이크머티리얼즈
277810,KR.CSV,레인보우로보틱스
215100,KR.CSV,로보로보
090360,KR.CSV,로보스타
238500,KR.CSV,로보쓰리에이아이
108490,KR.CSV,로보티즈
900260,KR.CSV,로스웰
223220,KR.CSV,로지스몬
067730,KR.CSV,로지시스
071280,KR.CSV,로체시스템즈
032350,KR.CSV,롯데관광개발
089860,KR.CSV,롯데렌탈
330590,KR.CSV,롯데리츠
000400,KR.CSV,롯데손해보험
023530,KR.CSV,롯데쇼핑
020150,KR.CSV,롯데에너지머티리얼즈
280360,KR.CSV,롯데웰푸드
286940,KR.CSV,롯데이노베이트
004000,KR.CSV,롯데정밀화학
004990,KR.CSV,롯데지주
00499K,KR.CSV,롯데지주우
005300,KR.CSV,롯데칠성
005305,KR.CSV,롯데칠성우
011170,KR.CSV,롯데케미칼
071840,KR.CSV,롯데하이마트
328130,KR.CSV,루닛
038060,KR.CSV,루멘스
474170,KR.CSV,루미르
162120,KR.CSV,루켄테크놀러지스
253610,KR.CSV,루트락
141080,KR.CSV,리가켐바이오
058470,KR.CSV,리노공업
016100,KR.CSV,리더스코스메틱
012700,KR.CSV,리드코프
302550,KR.CSV,리메드
073570,KR.CSV,리튬포어스
377450,KR.CSV,리파인
277070,KR.CSV,린드먼아시아
042500,KR.CSV,링네트
193250,KR.CSV,링크드
219420,KR.CSV,링크제니시스
439090,KR.CSV,마녀공장
027740,KR.CSV,마니커
195500,KR.CSV,마니커에프앤지
357430,KR.CSV,마스턴프리미어리츠
377480,KR.CSV,마음AI
305090,KR.CSV,마이크로디지탈
448780,KR.CSV,마이크로엔엑스
098120,KR.CSV,마이크로컨텍솔
424980,KR.CSV,마이크로투나노
038290,KR.CSV,마크로젠
001080,KR.CSV,만호제강
267980,KR.CSV,매일유업
005990,KR.CSV,매일홀딩스
093520,KR.CSV,매커스
377030,KR.CSV,맥스트
088980,KR.CSV,맥쿼리인프라
094800,KR.CSV,맵스리얼티1
179720,KR.CSV,머니무브
100590,KR.CSV,머큐리
067280,KR.CSV,멀티캠퍼스
